sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_256.0_ICT_9,256,limestone cemented sandstone,,,,,-2.096251488,-17.4402256
C16_256.0_ICT_10,256,ls mudstone,,,,,-2.897310495,-17.36597252
C16_256.0_ICT_11,256,ls mudstone,,,,,-3.378768682,-17.18333435
C16_256.0_ICT_12,256,limestone cemented sandstone,,,,,-2.28482604,-17.3785553
C16_256.0_ICT_13,256,ls mudstone,,,,,-3.65697813,-17.2730999
C16_256.0_ICT_14,256,ls mudstone,,,,,-2.75619936,-17.22624016
C16_256.0_ICT_15,256,ls mudstone,,,,,-1.968996048,-17.41391754
C16_256.0_ICT_16,256,ls mudstone,,,,,-3.804110527,-17.23978806
C16_256.0_ICT_17,256,ls mudstone,,,,,-2.843325138,-17.28587151
C16_256.0_ICT_18,256,ls mudstone,,,,,-3.351681232,-17.23190117
C16_256.0_ICT_19,256,ls mudstone,,,,,-2.723950624,-17.41588593
C16_256.0_ICT_20,256,ls mudstone,,,,,-2.99519825,-17.59392166
C16_256.0_ICT_21,256,ls mudstone sandy interbeds,,,,,-2.628223658,-17.84808159
C16_256.0_ICT_22,256,ls mudstone,,,,,-2.344837666,-17.62722778
